City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,-54.8,-68.3,2020-04-11,42.8,56.0,40.0,5.28
1,Punta Arenas,CL,-53.15,-70.92,2020-04-11,39.2,86.0,40.0,13.87
2,Rio Gallegos,AR,-51.62,-69.22,2020-04-11,42.8,70.0,54.0,6.93
3,Bluff,NZ,-46.6,168.33,2020-04-11,70.0,48.0,5.0,5.01
4,Kaitangata,NZ,-46.28,169.85,2020-04-11,53.01,85.0,0.0,3.0
5,Comodoro Rivadavia,AR,-45.87,-67.5,2020-04-11,55.4,82.0,40.0,5.82
6,Dunedin,NZ,-45.87,170.5,2020-04-11,55.99,85.0,0.0,5.01
7,Coihaique,CL,-45.58,-72.07,2020-04-11,42.8,81.0,75.0,3.36
8,Te Anau,NZ,-45.42,167.72,2020-04-11,54.55,65.0,41.0,5.68
9,Christchurch,NZ,-43.53,172.63,2020-04-11,63.0,77.0,0.0,13.87
10,Rawson,AR,-43.3,-65.1,2020-04-11,61.77,60.0,65.0,16.98
11,Hobart,AU,-42.88,147.33,2020-04-11,55.4,66.0,75.0,17.22
12,New Norfolk,AU,-42.78,147.06,2020-04-11,55.4,66.0,75.0,17.22
13,Castro,CL,-42.47,-73.77,2020-04-11,42.8,100.0,75.0,4.7
14,Ancud,CL,-41.87,-73.82,2020-04-11,42.8,100.0,75.0,4.7
15,Westport,NZ,-41.75,171.6,2020-04-11,56.91,74.0,39.0,2.91
16,Waipawa,NZ,-41.41,175.52,2020-04-11,61.0,77.0,6.0,23.04
17,Neuquen,AR,-38.95,-68.06,2020-04-11,66.2,39.0,88.0,6.93
18,Mar Del Plata,AR,-38.0,-57.56,2020-04-11,53.6,87.0,0.0,3.36
19,Mount Gambier,AU,-37.83,140.77,2020-04-11,57.2,54.0,90.0,23.04
20,Lebu,CL,-37.62,-73.65,2020-04-11,55.04,84.0,49.0,11.92
21,Dargaville,NZ,-35.93,173.88,2020-04-11,60.33,73.0,21.0,1.05
22,Constitucion,CL,-35.33,-72.42,2020-04-11,54.21,90.0,100.0,6.64
23,Kaeo,NZ,-35.1,173.78,2020-04-11,66.0,72.0,19.0,5.01
24,Albany,AU,-35.02,117.89,2020-04-11,77.0,61.0,92.0,12.75
25,Port Lincoln,AU,-34.73,135.87,2020-04-11,60.21,65.0,82.0,16.06
26,Bredasdorp,ZA,-34.53,20.04,2020-04-11,60.8,82.0,100.0,2.24
27,Hermanus,ZA,-34.42,19.23,2020-04-11,61.0,91.0,99.0,3.0
28,Cape Town,ZA,-33.93,18.42,2020-04-11,62.6,93.0,20.0,9.17
29,Port Elizabeth,ZA,-33.92,25.57,2020-04-11,53.6,93.0,20.0,3.29
30,Esperance,AU,-33.87,121.9,2020-04-11,80.6,44.0,14.0,10.29
31,Chuy,UY,-33.7,-53.46,2020-04-11,60.26,85.0,0.0,3.24
32,Busselton,AU,-33.65,115.33,2020-04-11,96.01,17.0,72.0,5.59
33,Port Alfred,ZA,-33.59,26.89,2020-04-11,67.32,82.0,17.0,7.07
34,Willowmore,ZA,-33.29,23.49,2020-04-11,61.88,39.0,56.0,2.86
35,Port Pirie,AU,-33.18,138.02,2020-04-11,68.0,56.0,59.0,19.46
36,Gualeguay,AR,-33.14,-59.31,2020-04-11,52.61,86.0,0.0,4.43
37,Rio Cuarto,AR,-33.13,-64.35,2020-04-11,53.6,66.0,0.0,5.82
38,East London,ZA,-33.02,27.91,2020-04-11,57.2,93.0,6.0,2.24
39,Saldanha,ZA,-33.01,17.94,2020-04-11,60.8,93.0,92.0,4.7
40,Port Macquarie,AU,-31.43,152.92,2020-04-11,75.2,38.0,95.0,9.17
41,Margate,ZA,-30.86,30.37,2020-04-11,74.73,65.0,70.0,11.3
42,De Aar,ZA,-30.65,24.01,2020-04-11,62.37,52.0,9.0,17.83
43,Cidreira,BR,-30.18,-50.21,2020-04-11,62.04,82.0,6.0,5.12
44,Coquimbo,CL,-29.95,-71.34,2020-04-11,60.4,84.0,69.0,9.31
45,Richards Bay,ZA,-28.78,32.04,2020-04-11,71.62,76.0,32.0,15.12
46,Geraldton,AU,-28.77,114.6,2020-04-11,91.4,31.0,70.0,10.29
47,Byron Bay,AU,-28.65,153.62,2020-04-11,88.0,32.0,37.0,13.87
48,Laguna,BR,-28.48,-48.78,2020-04-11,59.59,89.0,0.0,8.88
49,Imbituba,BR,-28.24,-48.67,2020-04-11,62.6,59.0,3.0,5.82
50,Luderitz,NA,-26.65,15.16,2020-04-11,53.6,87.0,0.0,3.36
51,San Vicente,AR,-26.62,-54.13,2020-04-11,49.08,80.0,0.0,3.6
52,Roma,AU,-26.58,148.78,2020-04-11,81.5,19.0,16.0,15.9
53,Coolum Beach,AU,-26.53,153.1,2020-04-11,86.0,69.0,53.0,5.84
54,Diego De Almagro,CL,-26.37,-70.05,2020-04-11,51.69,63.0,6.0,0.78
55,Formosa,AR,-26.18,-58.18,2020-04-11,57.2,87.0,0.0,3.36
56,Taltal,CL,-25.4,-70.48,2020-04-11,62.96,71.0,41.0,2.13
57,Hervey Bay,AU,-25.3,152.85,2020-04-11,84.2,62.0,94.0,13.87
58,Yulara,AU,-25.24,130.99,2020-04-11,87.8,11.0,29.0,6.93
59,Beloha,MG,-25.17,45.05,2020-04-11,78.04,65.0,29.0,14.88
60,Carnarvon,AU,-24.87,113.63,2020-04-11,82.4,74.0,57.0,14.99
61,Ampanihy,MG,-24.7,44.75,2020-04-11,78.94,57.0,1.0,11.36
62,Thabazimbi,ZA,-24.59,27.41,2020-04-11,57.99,94.0,88.0,4.05
63,Peruibe,BR,-24.32,-47.0,2020-04-11,69.62,69.0,76.0,3.31
64,Inhambane,MZ,-23.86,35.38,2020-04-11,69.8,88.0,20.0,6.11
65,Ilhabela,BR,-23.78,-45.36,2020-04-11,68.94,69.0,61.0,2.77
66,Alice Springs,AU,-23.7,133.88,2020-04-11,84.2,14.0,9.0,9.17
